instance,run,agent,publications,consultations,shared_reads,best_fitness,best_time_seconds
cubic_1800.txt,3,HHO,3,8,8,1576.000000000,7.668999910
cubic_1800.txt,4,ACO,22,43,43,1571.000000000,37.178999901
cubic_1800.txt,4,Tabu Search,4,80,79,1965.000000000,0.125999928
cubic_1800.txt,4,RVNS,8,80,79,1966.000000000,0.062000036
cubic_1800.txt,4,HHO,3,8,8,1577.000000000,8.484999895
cubic_1800.txt,5,ACO,15,44,44,1580.000000000,36.921000004
cubic_1800.txt,5,Tabu Search,7,80,79,1993.000000000,0.009999990
cubic_1800.txt,5,RVNS,5,80,79,1993.000000000,0.192000151
cubic_1800.txt,5,HHO,3,8,8,1589.000000000,33.523000002
cubic_1800.txt,6,ACO,24,43,43,1574.000000000,32.743999958
cubic_1800.txt,6,Tabu Search,4,80,79,1982.000000000,0.187000036
cubic_1800.txt,6,RVNS,9,80,79,1980.000000000,0.054000139
cubic_1800.txt,6,HHO,5,8,8,1581.000000000,28.018000126
cubic_1800.txt,7,ACO,27,43,43,1572.000000000,32.792000055
cubic_1800.txt,7,Tabu Search,8,80,79,2006.000000000,0.016999960
cubic_1800.txt,7,RVNS,3,80,79,2006.000000000,0.165999889
